0,Brand,Model,Price,Fuel,Variant,KMS_driven
786,2014 Honda Amaze,S i-Vtech,3.65 Lakh,Petrol,Manual,"72,000 kms"
787,2013 Mercedes-Benz A Class,A180 CDI,9.25 Lakh,Diesel,Automatic,"35,000 kms"
788,2014 Honda Brio,VX,3.75 Lakh,Petrol,Manual,"73,000 kms"
789,2012 Maruti Swift,VXI,3.50 Lakh,Petrol,Manual,"32,000 kms"
790,2015 Toyota Etios,VX,4.75 Lakh,Petrol,Manual,"1,20,000 kms"
791,2011 Ford Figo,Petrol LXI,1.75 Lakh,Petrol,Manual,"82,000 kms"
792,2017 Honda City,i-VTEC CVT VX,9.60 Lakh,Petrol,Automatic,"25,000 kms"
793,2018 Maruti Vitara Brezza,ZDi,9.40 Lakh,Diesel,Manual,"60,000 kms"
794,2013 Mercedes-Benz C-Class,220 CDI AT,11.45 Lakh,Diesel,Automatic,"78,000 kms"
795,2015 Hyundai i10,Asta AT,4.91 Lakh,Petrol,Automatic,"54,000 kms"
796,2015 Honda Amaze,SX i-VTEC,4.99 Lakh,Petrol,Manual,"49,000 kms"
797,2017 Honda Jazz,1.2 V AT i VTEC,6.72 Lakh,Petrol,Automatic,"24,000 kms"
798,2017 Hyundai Elantra,2.0 SX Option,9.75 Lakh,Petrol,Manual,"70,000 kms"
799,2015 Mahindra XUV500,W10 2WD,8.75 Lakh,Diesel,Manual,"30,000 kms"
800,2014 Hyundai i20,Asta Option 1.2,5.45 Lakh,Petrol,Manual,"80,000 kms"
801,2011 Mercedes-Benz S-Class,S 500,14.75 Lakh,Petrol,Automatic,"50,000 kms"
802,2013 Honda City,i VTEC V,4.09 Lakh,Petrol,Manual,"70,000 kms"
803,2013 Skoda Superb,Elegance 1.8 TSI AT,8.75 Lakh,Petrol,Automatic,"44,000 kms"
804,2015 Honda City,i VTEC CVT VX,7.75 Lakh,Petrol,Automatic,"49,001 kms"
805,2015 Hyundai Grand i10,AT Asta,5.25 Lakh,Petrol,Automatic,"58,000 kms"
806,2012 Hyundai i10,Sportz AT,3.55 Lakh,Petrol,Automatic,"42,000 kms"
807,2017 Mercedes-Benz GLA Class,200 d Sport,23.75 Lakh,Diesel,Automatic,"58,000 kms"
808,2017 Mercedes-Benz C-Class,Cabriolet C 300,63.75 Lakh,Petrol,Automatic,"52,000 kms"
809,2017 BMW X5,xDrive 30d Design Pure Experience 5 Seater,45.00 Lakh,Diesel,Automatic,"62,000 kms"
810,2014 Ford Ecosport,1.5 Ti VCT MT Ambiente,4.45 Lakh,Petrol,Manual,"29,000 kms"
811,2022 Volvo S60,T4 Inscription,51.00 Lakh,Petrol,Automatic,"62,000 kms"
812,2017 Hyundai Tucson,2.0 e-VGT 2WD MT,18.50 Lakh,Diesel,Manual,"35,000 kms"
813,2015 Maruti Swift Dzire,VXI,5.35 Lakh,Petrol,Manual,"25,000 kms"
814,2011 BMW 5 Series,520d,15.50 Lakh,Diesel,Automatic,"77,800 kms"
815,2017 BMW 7 Series,730Ld Design Pure Excellence,71.00 Lakh,Diesel,Automatic,"69,000 kms"
816,2015 Ford Ecosport,1.5 Ti VCT AT Titanium,5.45 Lakh,Petrol,Automatic,"47,000 kms"
817,2015 Maruti Ciaz,AT ZXi,5.85 Lakh,Petrol,Automatic,"52,000 kms"
818,2018 Toyota Innova Crysta,2.8 ZX AT BSIV,22.50 Lakh,Diesel,Automatic,"67,000 kms"
819,2017 Audi TT,45 TFSI,45.00 Lakh,Petrol,Automatic,"35,000 kms"
820,2016 Hyundai Grand i10,Asta Option,5.25 Lakh,Petrol,Manual,"33,000 kms"
821,2015 Ford Ecosport,1.5 Ti VCT MT Titanium,5.25 Lakh,Petrol,Manual,"90,000 kms"
822,2013 Skoda New Laura,Elegance 2.0 TDI CR AT,4.95 Lakh,Diesel,Automatic,"12,000 kms"
823,2014 Renault Duster,Petrol RxL,4.45 Lakh,Petrol,Manual,"8,000 kms"
824,2013 Honda City,V MT,4.25 Lakh,Petrol,Manual,"17,000 kms"
825,2014 Honda Brio,S MT,3.55 Lakh,Petrol,Manual,"9,000 kms"
826,2009 Honda City,S,2.85 Lakh,Petrol,Manual,"14,002 kms"
827,2010 Honda City,1.5 E MT,2.75 Lakh,Petrol,Manual,"12,000 kms"
828,2016 Datsun RediGO,S,2.25 Lakh,Petrol,Manual,"4,000 kms"
829,2010 Maruti A-Star,Vxi,2.15 Lakh,Petrol,Manual,"15,000 kms"
830,2010 Maruti A-Star,Vxi,1.85 Lakh,Petrol,Manual,"41,000 kms"
831,2015 Honda City,i VTEC V,6.50 Lakh,Petrol,Manual,"57,000 kms"
832,2016 Honda City,i VTEC VX,7.75 Lakh,Petrol,Manual,"70,000 kms"
833,2016 Maruti Celerio,VXI AT,3.95 Lakh,Petrol,Automatic,"15,000 kms"
834,2016 Honda CR-V,2.4L 4WD AT,12.25 Lakh,Petrol,Automatic,"54,000 kms"
835,2017 Jaguar XJ,3.0L Portfolio,64.75 Lakh,Diesel,Automatic,"69,000 kms"
836,2014 Maruti Wagon R,LXI CNG,3.85 Lakh,CNG,Manual,"9,000 kms"
837,2013 Maruti Wagon R,LXI CNG,3.65 Lakh,CNG,Manual,"95,000 kms"
838,2018 Maruti Wagon R,Pro,4.85 Lakh,Petrol,Manual,"39,000 kms"
839,2015 Maruti Wagon R,Pro,4.36 Lakh,Petrol,Manual,"59,000 kms"
840,2020 Maruti Ertiga,CNG VXI,10.99 Lakh,CNG,Manual,"65,000 kms"
841,2018 Maruti Celerio,VXI CNG BSIV,5.61 Lakh,CNG,Manual,"37,000 kms"
842,2021 Toyota Fortuner,4X2 Diesel AT,35.99 Lakh,Diesel,Automatic,"33,000 kms"
843,2020 Mahindra Scorpio,S5,11.99 Lakh,Diesel,Manual,"70,000 kms"
844,2017 Maruti Vitara Brezza,ZDi Plus Dual Tone,8.95 Lakh,Diesel,Manual,"11,000 kms"
845,2016 Maruti Ciaz,VXi,7.49 Lakh,Petrol,Manual,"56,645 kms"
846,2017 Toyota Fortuner,2.8 2WD MT,24.49 Lakh,Diesel,Manual,"1,22,000 kms"
847,2015 Mahindra Scorpio,S2 9 Seater,8.50 Lakh,Diesel,Manual,"57,000 kms"
848,2011 Mahindra Scorpio,M2DI,3.25 Lakh,Diesel,Manual,"31,000 kms"
849,2018 Mahindra Scorpio,S7,12.25 Lakh,Diesel,Manual,"46,000 kms"
850,2015 Maruti Alto K10,VXI AMT,3.20 Lakh,Petrol,Automatic,"67,850 kms"
851,2016 Hyundai Creta,1.6 VTVT E Plus,7.90 Lakh,Petrol,Manual,"59,708 kms"
852,2019 Jeep Compass,1.4 Limited,17.95 Lakh,Petrol,Automatic,"42,456 kms"
853,2017 Hyundai Creta,1.6 VTVT AT SX Plus,11.45 Lakh,Petrol,Automatic,"1,20,000 kms"
854,2016 Honda City,i VTEC CVT VX,8.45 Lakh,Petrol,Automatic,"21,000 kms"
855,2015 Honda City,i VTEC V,6.45 Lakh,Petrol,Manual,"32,000 kms"
856,2011 BMW X1,sDrive20d,8.95 Lakh,Diesel,Automatic,"1,03,000 kms"
857,2015 Maruti Ertiga,VXI CNG,7.75 Lakh,CNG,Manual,"24,000 kms"
858,2010 Maruti Swift Dzire,VDi,3.00 Lakh,Diesel,Manual,"45,000 kms"
859,2019 Toyota Glanza,G CVT,8.55 Lakh,Petrol,Automatic,"39,101 kms"
860,2016 Hyundai Grand i10,Sportz,4.75 Lakh,Petrol,Manual,"99,000 kms"
861,2016 Tata Tiago,1.2 Revotron XZ,4.35 Lakh,Petrol,Manual,"6,101 kms"
862,2018 Hyundai i20,Petrol CVT Asta,8.15 Lakh,Petrol,Automatic,"17,000 kms"
863,2015 Skoda Octavia,Elegance 2.0 TDI AT,12.90 Lakh,Diesel,Automatic,"29,108 kms"
864,2016 Honda Jazz,1.2 V AT i VTEC,6.25 Lakh,Petrol,Automatic,"56,000 kms"
865,2017 Renault KWID,RXT,3.49 Lakh,Petrol,Manual,"99,101 kms"
866,2019 Mercedes-Benz C-Class,Progressive C 220d,42.50 Lakh,Diesel,Automatic,"38,101 kms"
867,2017 Honda City,i VTEC CVT VX,8.75 Lakh,Petrol,Automatic,"35,000 kms"
868,2016 Audi A6,35 TFSI Matrix,21.85 Lakh,Petrol,Automatic,"39,102 kms"
869,2021 Maruti Ertiga,VXI,10.35 Lakh,Petrol,Manual,"15,102 kms"
870,2021 Volkswagen Vento,1.0 TSI Highline Plus AT,14.85 Lakh,Petrol,Automatic,"8,101 kms"
871,2018 Skoda Octavia,1.8 TSI AT L K,21.50 Lakh,Petrol,Automatic,"47,101 kms"
872,2016 Mahindra Xylo,H8,6.25 Lakh,Diesel,Manual,"67,000 kms"
873,2017 Mahindra Scorpio,S11,11.51 Lakh,Diesel,Manual,"51,000 kms"
874,2017 Hyundai Creta,1.6 E Plus,8.50 Lakh,Petrol,Manual,"1,05,001 kms"
875,2015 Hyundai Verna,1.6 SX VTVT AT,6.00 Lakh,Petrol,Automatic,"10,000 kms"
876,2016 Toyota Fortuner,4x2 AT,19.50 Lakh,Diesel,Automatic,"82,000 kms"
877,2009 Maruti Swift,ZXI BSIII,2.35 Lakh,Petrol,Manual,"1,09,684 kms"
878,2017 Honda City,i-VTEC CVT V,8.91 Lakh,Petrol,Automatic,"14,000 kms"
879,2020 Jeep Compass,2.0 Limited Plus AT,25.95 Lakh,Diesel,Automatic,"95,000 kms"
880,2012 Toyota Innova,2.5 G (Diesel) 7 Seater,7.45 Lakh,Diesel,Manual,"20,000 kms"
881,2013 Honda City,V MT,4.75 Lakh,Petrol,Manual,"49,000 kms"
882,2011 BMW 5 Series,520d Sedan,10.96 Lakh,Diesel,Automatic,"56,000 kms"
883,2016 Maruti Baleno,1.2 CVT Delta,6.95 Lakh,Petrol,Automatic,"35,000 kms"
884,2017 Mahindra XUV500,AT W10 FWD,12.95 Lakh,Diesel,Automatic,"65,000 kms"
885,2017 Maruti Ertiga,CNG VXI,8.45 Lakh,CNG,Manual,"46,000 kms"
886,2016 Mercedes-Benz GLA Class,200 CDI,22.90 Lakh,Diesel,Automatic,"70,000 kms"
887,2011 Honda Civic,1.8 V MT,3.60 Lakh,Petrol,Manual,"20,000 kms"
888,2011 Honda Civic,1.8 V MT,3.35 Lakh,Petrol,Manual,"67,000 kms"
889,2013 Mercedes-Benz E-Class,E 200 CGI,11.99 Lakh,Petrol,Automatic,"51,017 kms"
890,2011 Porsche Cayenne,Diesel,28.75 Lakh,Diesel,Automatic,"10,000 kms"
891,2017 Renault Lodgy,Stepway 110PS RXZ 7S,7.25 Lakh,Diesel,Manual,"40,000 kms"
892,2012 Maruti Wagon R,VXI BS IV,2.99 Lakh,Petrol,Manual,"25,001 kms"
893,2014 Maruti Swift Dzire,VXI,4.75 Lakh,Petrol,Manual,"65,000 kms"
894,2015 Honda City,i VTEC V,6.25 Lakh,Petrol,Manual,"75,000 kms"
895,2014 Hyundai Grand i10,Magna,3.75 Lakh,Petrol,Manual,"45,000 kms"
896,2014 Nissan Sunny,XV,3.75 Lakh,Petrol,Manual,"85,000 kms"
897,2012 Nissan Sunny,Diesel XV,2.95 Lakh,Diesel,Manual,"27,000 kms"
898,2010 Honda City,1.5 S MT,2.95 Lakh,Petrol,Manual,"45,000 kms"
899,2013 Skoda Fabia,1.2 MPI Active Plus,2.75 Lakh,Petrol,Manual,"46,000 kms"
900,2008 Honda City,GXi,1.75 Lakh,Petrol,Manual,"49,000 kms"
901,2012 Hyundai i10,Sportz,3.39 Lakh,Petrol,Manual,"45,000 kms"
902,2010 Ford Fiesta,1.6 ZXi ABS,1.75 Lakh,Petrol,Manual,"43,000 kms"
903,2013 Skoda New Laura,Ambition 2.0 TDI CR MT,6.25 Lakh,Diesel,Manual,"61,000 kms"
904,2017 Ford Ecosport,1.5 Ti VCT AT Titanium BSIV,7.95 Lakh,Petrol,Automatic,"67,000 kms"
905,2014 Maruti Celerio,Green VXI,4.15 Lakh,CNG,Manual,"46,000 kms"
906,2018 Maruti Celerio,ZXI AMT,4.90 Lakh,Petrol,Automatic,"42,000 kms"
907,2016 BMW X1,xDrive 20d xLine,25.50 Lakh,Diesel,Automatic,"48,000 kms"
908,2018 Renault Lodgy,110PS RxZ 8 Seater,7.99 Lakh,Diesel,Manual,"58,000 kms"
909,2018 Volkswagen Tiguan,2.0 TDI Highline,19.75 Lakh,Diesel,Automatic,"10,000 kms"
910,2022 Mahindra XUV700,AX7 Diesel AT Luxury Pack AWD,30.08 Lakh,Diesel,Automatic,"41,000 kms"
911,2017 Honda Jazz,1.2 V AT i VTEC,7.35 Lakh,Petrol,Automatic,"85,000 kms"
912,2013 Audi A6,2.0 TDI Special Edition,13.50 Lakh,Diesel,Automatic,"56,000 kms"
913,2015 Maruti Ciaz,ZXi,6.35 Lakh,Petrol,Manual,"81,845 kms"
914,2015 Toyota Corolla Altis,GL MT,7.75 Lakh,Petrol,Manual,"8,500 kms"
915,2011 Maruti Ritz,VDI (ABS) BS IV,2.35 Lakh,Diesel,Manual,"11,000 kms"
916,2015 Hyundai Grand i10,CRDi Magna,3.65 Lakh,Diesel,Manual,"51,000 kms"
917,2017 Skoda Rapid,1.6 MPI AT Style BSIV,7.35 Lakh,Petrol,Automatic,"52,650 kms"
918,2016 Nissan Sunny,Diesel XL,4.89 Lakh,Diesel,Manual,"25,000 kms"
919,2010 Honda Accord,2.4 Elegance M/T,3.59 Lakh,Petrol,Manual,"19,000 kms"
920,2018 Maruti Ciaz,1.4 Zeta,7.95 Lakh,Petrol,Manual,"37,000 kms"
921,2014 Chevrolet Beat,LS,2.15 Lakh,Petrol,Manual,"75,000 kms"
922,2019 Toyota Innova Crysta,2.8 GX AT BSIV,18.95 Lakh,Diesel,Automatic,"42,000 kms"
923,2019 Maruti Ignis,1.2 AMT Zeta BSIV,6.50 Lakh,Petrol,Automatic,"20,550 kms"
924,2014 Skoda Rapid,1.6 TDI Ambition,3.85 Lakh,Diesel,Manual,"36,000 kms"
925,2016 Mercedes-Benz GLA Class,200 CDI SPORT,19.25 Lakh,Diesel,Automatic,"35,452 kms"
926,2016 Mercedes-Benz GLA Class,200 CDI SPORT,19.25 Lakh,Diesel,Automatic,"54,000 kms"
927,2016 Tata Tiago,1.2 Revotron XT,4.45 Lakh,Petrol,Manual,"55,000 kms"
928,2015 Hyundai Verna,1.6 SX VTVT,5.75 Lakh,Petrol,Manual,"25,000 kms"
929,2017 Hyundai Creta,1.6 VTVT AT SX Plus,10.75 Lakh,Petrol,Automatic,"7,000 kms"
930,2016 Volkswagen Vento,1.6 Highline,5.99 Lakh,Petrol,Manual,"80,000 kms"
931,2015 Honda CR-V,2.4L 4WD AT,12.50 Lakh,Petrol,Automatic,"75,000 kms"
932,2013 Hyundai i20,Magna,3.45 Lakh,Petrol,Manual,"70,000 kms"
933,2018 Hyundai Grand i10,1.2 Kappa Magna AT,5.75 Lakh,Petrol,Automatic,"61,000 kms"
934,2013 Honda City,E,3.65 Lakh,Petrol,Manual,"28,000 kms"
935,2015 Maruti Ciaz,ZXi Plus,6.25 Lakh,Petrol,Manual,"98,000 kms"
936,2012 Hyundai i10,Asta Sunroof AT,3.44 Lakh,Petrol,Automatic,"51,500 kms"
937,2018 Maruti Vitara Brezza,ZDi,8.75 Lakh,Diesel,Manual,"14,000 kms"
938,2011 BMW X1,sDrive20d,7.90 Lakh,Diesel,Automatic,"98,000 kms"
939,2014 Hyundai Grand i10,Asta,4.15 Lakh,Petrol,Manual,"35,000 kms"
940,2015 Mahindra XUV500,W10 AWD,9.25 Lakh,Diesel,Manual,"76,000 kms"
941,2019 MG Hector,Sharp DCT,17.35 Lakh,Petrol,Automatic,"89,000 kms"
942,2019 Toyota Glanza,V CVT,8.25 Lakh,Petrol,Automatic,"51,000 kms"
943,2017 Maruti Alto 800,VXI,3.21 Lakh,Petrol,Manual,"37,788 kms"
944,2016 Volvo S60 Cross Country,D4 AWD BSIV,23.50 Lakh,Diesel,Automatic,"76,500 kms"
945,2014 Skoda Rapid,1.6 MPI AT Ambition Plus,4.15 Lakh,Petrol,Automatic,"56,000 kms"
946,2017 Maruti Ciaz,Alpha,7.45 Lakh,Petrol,Manual,"59,000 kms"
947,2016 Toyota Corolla Altis,G AT,9.85 Lakh,Petrol,Automatic,"25,000 kms"
948,2015 Maruti Alto K10,LXI CNG,3.25 Lakh,CNG,Manual,"45,000 kms"
949,2018 Jaguar XJ,3.0L Portfolio,75.00 Lakh,Diesel,Automatic,"75,000 kms"
950,2012 Mahindra Xylo,D4 BSIII,4.50 Lakh,Diesel,Manual,"37,349 kms"
951,2017 Maruti Wagon R,LXI CNG,4.50 Lakh,CNG,Manual,"20,000 kms"
952,2012 Maruti Zen Estilo,VXI BSIV,2.25 Lakh,Petrol,Manual,"53,800 kms"
953,2009 Honda City,1.5 S MT,1.75 Lakh,Petrol,Manual,"38,000 kms"
954,2014 Hyundai i20,Asta Option 1.2,5.45 Lakh,Petrol,Manual,"17,500 kms"
955,2009 Hyundai Santro Xing,GLS,1.25 Lakh,Petrol,Manual,850 kms
956,2015 Honda City,i VTEC CVT VX,7.75 Lakh,Petrol,Automatic,"65,000 kms"
957,2010 Hyundai i10,Magna AT,2.25 Lakh,Petrol,Automatic,"53,000 kms"
958,2015 Toyota Fortuner,4x4 MT,17.50 Lakh,Diesel,Manual,"75,000 kms"
959,2020 Maruti Ertiga,CNG VXI,10.75 Lakh,CNG,Manual,"29,000 kms"
960,2016 BMW 3 Series GT,Luxury Line,22.50 Lakh,Diesel,Automatic,"38,000 kms"
961,2013 Porsche Cayenne,Diesel,33.50 Lakh,Diesel,Automatic,"14,000 kms"
962,2019 Toyota Fortuner,2.8 4WD AT BSIV,38.50 Lakh,Diesel,Automatic,"54,000 kms"
963,2019 Renault KWID,RXL BSIV,3.69 Lakh,Petrol,Manual,"14,500 kms"
964,2014 Hyundai Grand i10,Sportz,4.25 Lakh,Petrol,Manual,"69,000 kms"
965,2018 Hyundai i20,Petrol CVT Magna Executive,6.75 Lakh,Petrol,Automatic,"37,000 kms"
966,2020 Toyota Innova Crysta,2.4 GX 7 STR AT,24.25 Lakh,Diesel,Automatic,"15,000 kms"
967,2016 Honda City,i VTEC VX Option,7.95 Lakh,Petrol,Manual,"14,500 kms"
968,2011 Mahindra Xylo,E4 BS IV,2.95 Lakh,Diesel,Manual,"17,000 kms"
969,2020 Kia Carnival,Limousine,31.95 Lakh,Diesel,Automatic,"42,402 kms"
970,2014 Maruti Ertiga,VXI CNG,6.90 Lakh,CNG,Manual,"33,000 kms"
971,2017 Honda City,i VTEC CVT VX,8.85 Lakh,Petrol,Automatic,"21,000 kms"
972,2013 Volkswagen Vento,2013-2015 1.6 Comfortline,3.85 Lakh,Petrol,Manual,"38,000 kms"
973,2013 Hyundai i10,Sportz,3.45 Lakh,Petrol,Manual,"49,000 kms"
974,2019 Hyundai Venue,SX Plus Turbo DCT DT,11.25 Lakh,Petrol,Automatic,"48,000 kms"
975,2021 Hyundai Creta,SX Opt Diesel AT,20.50 Lakh,Diesel,Automatic,"41,000 kms"
976,2011 Mahindra Scorpio,VLX 2WD BSIII,3.75 Lakh,Diesel,Manual,"63,381 kms"
977,2008 Maruti Wagon R,LXI,1.45 Lakh,Petrol,Manual,"36,500 kms"
978,2010 Maruti Swift,ZXi BSIV,2.10 Lakh,Petrol,Manual,"44,377 kms"
979,2020 Hyundai Venue,S Diesel,9.75 Lakh,Diesel,Manual,"67,000 kms"
980,2020 Jeep Compass,2.0 Sport Plus,16.55 Lakh,Diesel,Manual,"11,000 kms"
981,2014 Toyota Innova,2.5 G (Diesel) 8 Seater BS IV,8.25 Lakh,Diesel,Manual,"67,000 kms"
982,2014 BMW X5,xDrive 30d,19.95 Lakh,Diesel,Automatic,"41,489 kms"
983,2014 Maruti Wagon R,LXI CNG,3.35 Lakh,CNG,Manual,"30,000 kms"
984,2016 Mercedes-Benz CLA,200 CDI Style,22.50 Lakh,Diesel,Automatic,"65,346 kms"
985,2017 Maruti Baleno,1.3 Sigma,5.75 Lakh,Diesel,Manual,"59,000 kms"
986,2009 BMW 7 Series,750Li Sedan,17.25 Lakh,Petrol,Automatic,"73,785 kms"
987,2014 Renault Duster,85PS Diesel RxL,5.45 Lakh,Diesel,Manual,"28,605 kms"
988,2012 Honda City,S,3.54 Lakh,Petrol,Manual,"58,783 kms"
989,2011 Maruti Ritz,VDi,2.94 Lakh,Diesel,Manual,"24,908 kms"
990,2009 Maruti Wagon R,VXI BSIII,1.75 Lakh,Petrol,Manual,"1,40,000 kms"
991,2016 Hyundai Verna,1.6 VTVT S,5.95 Lakh,Petrol,Manual,"71,500 kms"
992,2011 Toyota Innova,2.5 G (Diesel) 7 Seater BS IV,6.95 Lakh,Diesel,Manual,"83,768 kms"
993,2013 Hyundai i20,Magna,3.55 Lakh,Petrol,Manual,"85,249 kms"
994,2017 Honda Jazz,1.2 VX i VTEC,5.95 Lakh,Petrol,Manual,"12,000 kms"
995,2014 Hyundai Verna,1.6 SX VTVT,4.90 Lakh,Petrol,Manual,"71,070 kms"
996,2017 Jeep Compass,2.0 Limited,13.65 Lakh,Diesel,Manual,"72,000 kms"
997,2016 Hyundai i10,Sportz 1.1L,3.90 Lakh,Petrol,Manual,"29,453 kms"
998,2019 Mercedes-Benz V-Class,Marco Polo,64.00 Lakh,Diesel,Automatic,"79,751 kms"
999,2014 Hyundai Xcent,1.2 Kappa AT SX Option,4.75 Lakh,Petrol,Automatic,"62,789 kms"
1000,2017 Hyundai Creta,1.4 E Plus,8.75 Lakh,Diesel,Manual,"48,000 kms"
1001,2018 Maruti Wagon R,CNG LXI,4.85 Lakh,CNG,Manual,"12,002 kms"
1002,2018 Volkswagen Vento,1.5 TDI Highline AT,7.90 Lakh,Diesel,Automatic,"43,002 kms"
1003,2016 Maruti Celerio,ZXI AT,4.75 Lakh,Petrol,Automatic,"29,500 kms"
1004,2015 Honda City,i VTEC V,6.25 Lakh,Petrol,Manual,"55,000 kms"
1005,2017 Jeep Compass,1.4 Limited Option,14.49 Lakh,Petrol,Automatic,"67,000 kms"
1006,2015 Hyundai Verna,1.6 VTVT AT S Option,5.55 Lakh,Petrol,Automatic,"3,000 kms"
1007,2013 Volkswagen Polo,GT TSI,4.75 Lakh,Petrol,Automatic,"89,000 kms"
1008,2013 Volkswagen Vento,1.6 Highline,4.60 Lakh,Petrol,Manual,"11,000 kms"
1009,2020 Maruti XL6,Zeta AT,11.75 Lakh,Petrol,Automatic,"60,000 kms"
1010,2018 Honda Amaze,VX i-VTEC,7.25 Lakh,Petrol,Manual,"38,000 kms"
1011,2017 Honda WR-V,i-VTEC VX,7.45 Lakh,Petrol,Manual,"16,000 kms"
1012,2015 Maruti Ertiga,VDI,6.75 Lakh,Diesel,Manual,"44,711 kms"
1013,2017 Maruti Alto 800,CNG LXI Optional,3.45 Lakh,CNG,Manual,"36,504 kms"
1014,2014 Hyundai Verna,1.6 SX VTVT (O) AT,4.95 Lakh,Petrol,Automatic,"50,123 kms"
1015,2017 Honda WR-V,i-DTEC VX,6.99 Lakh,Diesel,Manual,"90,000 kms"
1016,2018 Hyundai Verna,VTVT 1.6 AT SX Option,10.85 Lakh,Petrol,Automatic,"68,000 kms"
1017,2017 Maruti Ertiga,BSIV VXI,7.45 Lakh,Petrol,Manual,"40,000 kms"
1018,2006 Tata Indica eV2,eXeta GLE,80000,Petrol,Manual,"44,000 kms"
1019,2013 Chevrolet Enjoy,TCDi LS 8 Seater,2.50 Lakh,Diesel,Manual,"48,000 kms"
1020,2013 Hyundai i10,Sportz AT,3.21 Lakh,Petrol,Automatic,"40,140 kms"
1021,2018 Maruti Eeco,CNG 5 Seater AC BSIV,4.85 Lakh,CNG,Manual,"11,000 kms"
1022,2007 Honda City,VTEC,1.45 Lakh,Petrol,Manual,"59,000 kms"
1023,2016 Maruti Ertiga,VXI CNG,7.79 Lakh,CNG,Manual,"9,000 kms"
1024,2018 Datsun GO Plus,T Option Petrol,3.11 Lakh,Petrol,Manual,"5,800 kms"
1025,2013 Skoda Superb,Ambition 2.0 TDI CR AT,5.51 Lakh,Diesel,Automatic,"39,000 kms"
1026,2014 Volkswagen Vento,TSI,4.95 Lakh,Petrol,Automatic,"88,000 kms"
1027,2012 Maruti Wagon R,VXI BS IV,2.75 Lakh,Petrol,Manual,"56,000 kms"
1028,2016 Hyundai Creta,1.6 CRDi AT SX Plus,10.95 Lakh,Diesel,Automatic,"10,000 kms"
1029,2007 Honda City,GXi,1.45 Lakh,Petrol,Manual,"29,000 kms"
1030,2010 Maruti Wagon R,VXI BS IV,2.35 Lakh,Petrol,Manual,"39,000 kms"
1031,2017 Hyundai Grand i10,Sportz,4.25 Lakh,Petrol,Manual,"64,000 kms"
1032,2020 Maruti Ertiga,CNG VXI,11.04 Lakh,CNG,Manual,"38,500 kms"
1033,2020 Kia Sonet,HTX Turbo iMT,11.25 Lakh,Petrol,Manual,"80,000 kms"
1034,2018 Land Rover Discovery Sport,TD4 HSE 7S,43.75 Lakh,Diesel,Automatic,"67,000 kms"
1035,2012 Nissan Sunny,Diesel XV,2.45 Lakh,Diesel,Manual,"45,500 kms"
1036,2014 Mercedes-Benz S-Class,S 500,53.00 Lakh,Petrol,Automatic,"81,000 kms"
1037,2014 Mercedes-Benz S-Class,S 500,53.00 Lakh,Petrol,Automatic,"63,000 kms"
1038,2008 Mahindra Scorpio,2.6 Turbo 7 Str,2.75 Lakh,Diesel,Manual,"79,000 kms"
1039,2019 BMW X1,sDrive 20d M Sport,34.50 Lakh,Diesel,Automatic,"70,000 kms"
1040,2019 Kia Seltos,GTX Plus DCT,17.75 Lakh,Petrol,Automatic,"90,000 kms"
1041,2008 Toyota Innova,2.5 V Diesel 8-seater,3.95 Lakh,Diesel,Manual,"69,000 kms"
1042,2021 Mercedes-Benz V-Class,Exclusive,79.00 Lakh,Diesel,Automatic,"78,000 kms"
1043,2021 Mercedes-Benz V-Class,Exclusive,79.00 Lakh,Diesel,Automatic,"58,000 kms"
1044,2017 Jaguar XF,2.0 Petrol Portfolio,36.00 Lakh,Petrol,Automatic,"63,000 kms"
1045,2016 Maruti Swift,VXI,4.22 Lakh,Petrol,Manual,"39,000 kms"
1046,2022 Tata Harrier,XZA Plus Dark Edition AT,25.50 Lakh,Diesel,Automatic,"39,000 kms"
1047,2017 Tata Hexa,XTA,12.75 Lakh,Diesel,Automatic,"3,500 kms"
1048,2012 BMW 5 Series,520i,14.00 Lakh,Petrol,Automatic,"55,000 kms"
1049,2017 Tata Tiago,1.2 Revotron XZA,4.90 Lakh,Petrol,Automatic,"65,000 kms"
1050,2016 Chevrolet Cruze,LTZ AT,9.50 Lakh,Diesel,Automatic,"98,000 kms"
1051,2019 Mahindra XUV300,W8,9.70 Lakh,Petrol,Manual,"49,000 kms"
1052,2017 Honda City,i VTEC SV,7.40 Lakh,Petrol,Manual,"45,000 kms"
1053,2020 Mahindra Thar,LX 4-Str Hard Top AT,17.25 Lakh,Petrol,Automatic,"75,000 kms"
1054,2018 Honda BR-V,i-VTEC VX MT,8.65 Lakh,Petrol,Manual,"70,000 kms"
1055,2015 Maruti Swift,VDI BSIV,5.35 Lakh,Diesel,Manual,"98,000 kms"
1056,2013 Audi A6,3.0 TDI Quattro Premium Plus,10.85 Lakh,Diesel,Automatic,"74,000 kms"
1057,2017 BMW 3 Series,320i Luxury Line,23.50 Lakh,Petrol,Automatic,"18,000 kms"
1058,2015 Mercedes-Benz A Class,A180 Sport,12.00 Lakh,Petrol,Automatic,"79,000 kms"
1059,2019 Tata Nexon,1.5 Revotorq XZA Plus,10.50 Lakh,Diesel,Automatic,"52,000 kms"
1060,2020 Maruti Baleno,Delta,6.59 Lakh,Petrol,Manual,"50,000 kms"
